time,x,y,A0,A01,A02,A04,A06,A10,A9,A11,A12,A15,A16,A17,A19,A20,A24
1.60135642668459E+018,-25.8052319895567,-118.448679539852,40,0,0,0,64,0,0,0,0,0,0,0,0,0,0
1.60135643172456E+018,-24.156278455838,-119.549128748523,40,0,0,0,67,0,0,0,0,0,0,0,0,0,0
1.60135643672458E+018,-22.5658126305613,-120.730049511922,40,0,0,0,58,0,75,0,0,0,0,0,0,0,0
1.60135644160458E+018,-21.0280940197809,-121.893530987514,40,0,0,0,54,0,73,0,0,0,0,0,0,0,0
1.60135644672459E+018,-19.530397548346,-123.297028726744,40,0,0,0,54,73,68,0,0,0,0,0,0,0,0
1.60135645160461E+018,-18.0557063999769,-124.537280226046,40,0,0,82,53,47,50,53,56,68,81,0,0,0,0
1.60135645664458E+018,-16.5308088547415,-125.853574057646,40,0,0,80,49,53,53,71,70,78,0,0,0,0,0
1.60135646172458E+018,-15.112554509647,-127.303111387428,40,0,0,80,49,74,67,79,79,0,0,0,0,0,0
1.60135646672456E+018,-13.6496257442872,-128.661915934009,40,0,0,81,46,77,69,0,0,0,0,0,0,0,0
1.60135647174458E+018,-12.3302651116879,-130.152195701801,40,0,0,82,43,0,74,0,0,0,0,0,0,0,0
1.60135647662458E+018,-11.0459633601527,-131.620608265215,40,0,0,81,41,0,0,0,0,0,0,0,0,0,0
1.60135648170458E+018,-9.77086122217971,-133.174036359441,40,0,0,82,40,0,0,0,0,0,0,0,0,0,0
1.60135648658458E+018,-8.58422119440563,-134.718099253856,40,0,0,84,40,0,0,0,0,0,0,0,0,0,0
1.60135649164458E+018,-7.39371706147816,-136.342968792826,40,0,0,81,40,0,76,0,0,0,0,0,0,0,0
1.60135649674458E+018,-6.20301462899835,-137.991270149125,48,0,0,80,42,0,0,0,0,0,0,0,0,0,0
