time,x,y,rss,distance,tag_id
1601356748563714742,0.36426954218973207,-235.15121278491503,-102,24741,27204
1601356748685959100,0.347139307280351,-235.25576204432227,-94,8801,26453
1601356748728147983,0.338431915362296,-235.3094195015912,-99,24568,27204
1601356748847485065,0.3131037406829771,-235.46906497724717,-94,9050,26453
1601356748889790534,0.3049163741990546,-235.52314299653034,-100,24502,27204
1601356749011845350,0.2885394202613071,-235.63763387890268,-96,9885,26453
1601356749054062604,0.2812481411494232,-235.69439762589315,-100,24202,27204
1601356749182919263,0.26861565463195036,-235.80902310428377,-100,8933,26453
1601356749226393938,0.2632804662485611,-235.86739757169238,-101,24042,27204
1601356749348820209,0.25042786388718435,-236.05208308100111,-95,9434,26453
1601356749393034934,0.25042786388718435,-236.05208308100111,-100,23902,27204
1601356749514542579,0.23541795551206599,-236.30232760835085,-98,9669,26453
1601356749556347131,0.23541795551206599,-236.30232760835085,-101,23606,27204
1601356749677075386,0.2274053636266692,-236.4319972700003,-98,9735,26453
1601356749851530790,0.2117046697403629,-236.68306247666683,-97,9983,26453
1601356750168067693,0.19089042405248127,-236.99430902645756,-98,10523,26453
1601356750210380315,0.19089042405248127,-236.99430902645756,-103,22926,27204
1601356750330676078,0.17371013261439727,-237.20410405245764,-98,10326,26453
1601356750486162185,0.15839290065854558,-237.36559509782046,-100,10584,26453
1601356750652471542,0.14138471391742158,-237.52571405048718,-102,10728,26453
1601356750694316864,0.1345219073796958,-237.58643387385806,-102,22373,27204
1601356750813663005,0.11990531588877401,-237.7102752145461,-98,11469,26453
1601356750854806423,0.11216467545882612,-237.77315600688658,-100,22180,27204
1601356750982252120,0.08786984327003433,-237.96089071815243,-100,11544,26453
1601356751138867855,0.06254861364430227,-238.14515770200427,-99,11160,26453
1601356751340824842,0.02699430866606866,-238.38911093478424,-100,22049,27204
1601356751614010334,-0.019678834732925442,-238.69134684034304,-100,11882,26453
1601356751990264654,-0.09514595386182227,-239.16881604283654,-99,20891,27204
1601356752111170053,-0.12187073132570822,-239.3371066942177,-100,12736,26453
1601356752153349161,-0.12187073132570822,-239.3371066942177,-99,21116,27204
1601356752275830268,-0.13839953669982993,-239.44068681468843,-100,12787,26453
1601356752317714929,-0.1466828229966271,-239.49242539868737,-99,20703,27204
1601356752437253236,-0.17240385610215345,-239.65302622194267,-97,13073,26453
1601356752748550415,-0.22792685548545968,-239.9989194701278,-100,13388,26453
1601356752905884265,-0.26075732415051517,-240.21729747344787,-103,13543,26453
1601356753064386129,-0.2800619117786408,-240.3685220296863,-102,13102,26453
1601356753559644699,-0.3297908991504485,-240.87642084167425,-102,19146,27204
1601356753722141742,-0.35307243713897024,-241.12117735686977,-100,19043,27204
1601356753848100185,-0.36419391723814437,-241.23730813977653,-105,14639,26453
1601356753890599727,-0.3698836643210867,-241.29598605377893,-96,19052,27204
1601356754045226573,-0.3854880896055847,-241.4545658015523,-99,18870,27204
1601356754208474636,-0.40147814539861754,-241.61483848665074,-102,18705,27204
1601356754515111207,-0.4373325792571315,-241.97178536782752,-102,18307,27204
1601356754836584806,-0.4808939814171602,-242.40235689220987,-103,17936,27204
1601356754994198799,-0.4932612442179397,-242.52331712239618,-101,17810,27204
1601356755151760578,-0.517629690214417,-242.76003194065575,-99,17537,27204
1601356755477525234,-0.5497643400423262,-243.0547212221942,-96,17373,27204
1601356755634220123,-0.5714862801746521,-243.21238006968255,-98,17115,27204
1601356755791592359,-0.5841155847801025,-243.2908509930143,-96,17111,27204
1601356755949157953,-0.6126118094132049,-243.44747710355162,-99,16796,27204
1601356756107531547,-0.6422971241902871,-243.5896366179826,-97,16895,27204
1601356756274902343,-0.6638009297703412,-243.68279304411072,-102,16585,27204
1601356756741346359,-0.734490636069491,-243.95433276747096,-105,16417,27204
1601356757366496801,-0.8660767543846809,-244.4414681306857,-100,15793,27204
1601356757522124767,-0.906946585350902,-244.5914201581229,-99,15911,27204
1601356757682377815,-0.9654405086055794,-244.80411921167058,-97,15343,27204
1601356757841948986,-0.993658592513843,-244.90588793391538,-97,15812,27204
1601356757996381759,-1.0358463949356225,-245.05736293705098,-98,14982,27204
1601356758155923604,-1.09260330271902,-245.26076149839858,-97,14832,27204
1601356758311122894,-1.1352898387597334,-245.41304114776597,-97,14860,27204
1601356758619920730,-1.2105835738818795,-245.68959882170452,-99,14499,27204
1601356758776458501,-1.2417540041459465,-245.8155703951753,-95,14621,27204
1601356758933763027,-1.2695350270510375,-245.94007782656797,-97,14236,27204
1601356759091467618,-1.2999386745573185,-246.09843766623678,-93,14461,27204
1601356759248892068,-1.313167516332746,-246.17850744730868,-99,14044,27204
1601356759407999992,-1.33566569387994,-246.33953499661013,-92,14091,27204
1601356759566641092,-1.3496946194486847,-246.46864154711392,-88,14077,27204
1601356759728448629,-1.3642759823988415,-246.61289668467236,-87,13922,27204
1601356759886470317,-1.3844869104592834,-246.8090545015352,-89,13749,27204
1601356760042941331,-1.399079471889819,-246.9501819554532,-90,13636,27204
1601356760201583623,-1.412509767521119,-247.07954722028396,-93,13566,27204
1601356760509095907,-1.4338170446088878,-247.28232629966928,-93,13256,27204
1601356760668185234,-1.450943557477508,-247.44219277163148,-88,13181,27204
1601356760823627948,-1.4637329165352793,-247.5605103905462,-86,13092,27204
1601356760980242967,-1.4761098958593049,-247.6739150626027,-85,13088,27204
1601356761133775949,-1.4931063134477298,-247.81824200666654,-86,12952,27204
1601356761291499614,-1.5063609744471587,-247.91978226603973,-88,12914,27204
1601356761448876142,-1.5144853534885796,-247.97735129996371,-94,12567,27204
1601356761607083320,-1.5322709489309232,-248.09361682075252,-94,12440,27204
1601356761763850688,-1.5516049834970462,-248.20944121324223,-93,12337,27204
1601356761920831918,-1.5722666656315136,-248.3240638641142,-89,12328,27204
1601356762079326629,-1.6016328328624072,-248.4736616937645,-90,12159,27204
1601356762239870786,-1.6173475516828613,-248.548544912489,-89,12070,27204
1601356762396116971,-1.6421644896213599,-248.66042926063724,-89,11976,27204
1601356762564086437,-1.6776775782367788,-248.81031199900346,-89,11929,27204
1601356762720283031,-1.6991329326561042,-248.8956547470865,-87,11859,27204
1601356762876465559,-1.7201778910780825,-248.97487625685895,-87,11816,27204
1601356763035142898,-1.7503013356994774,-249.0818747262409,-87,11751,27204
1601356763192665576,-1.7659697090622555,-249.13502533226998,-87,11629,27204
1601356763505490779,-1.835881509465418,-249.35681845896,-86,11422,27204
1601356763668904542,-1.8666989440909312,-249.4479791970522,-87,11362,27204
1601356763826407194,-1.8988946624583234,-249.53942367568018,-87,11301,27204
1601356763984148025,-1.9289751648576734,-249.62176484104984,-88,11216,27204
1601356764143913745,-1.9695917449727378,-249.728109752958,-90,11207,27204
1601356764301651239,-1.990719575150603,-249.7814003527205,-91,11005,27204
1601356764460849761,-2.030822232183305,-249.87930427751834,-93,10724,27204
1601356764624186277,-2.052030751965758,-249.93028980336533,-92,10728,27204
1601356764745278835,-2.0686071827294152,-249.9702455321338,-110,22485,26453
1601356764788290977,-2.0686071827294152,-249.9702455321338,-92,10701,27204
1601356764909313440,-2.0852842033365095,-250.0103667420485,-104,22649,26453
1601356764949081420,-2.090876835448614,-250.02379559301656,-94,10673,27204
1601356765107008695,-2.106067312480298,-250.0602335584298,-92,10616,27204
1601356765264200210,-2.120614957152858,-250.0950731508879,-91,10691,27204
1601356765421792507,-2.1303387478899416,-250.11834081034687,-90,10602,27204
1601356765579533100,-2.150311211120772,-250.16600515974432,-90,10565,27204
1601356765736200332,-2.170113899813124,-250.2130141820156,-88,10584,27204
1601356765894911527,-2.1848860209028693,-250.24791512702024,-88,10504,27204
1601356766055455446,-2.2033495620067836,-250.29206070567523,-90,10419,27204
1601356766209217309,-2.2074244060053583,-250.3023867092439,-89,10401,27204
1601356766365887403,-2.207868977201343,-250.30365064170903,-90,10377,27204
1601356766528811693,-2.2084864433305524,-250.3054117431586,-90,10335,27204
1601356766686803340,-2.2090099171009725,-250.3069015541886,-90,10358,27204
1601356766846098423,-2.209436274624322,-250.30812116403916,-90,10265,27204
1601356767007353782,-2.2098126783931127,-250.3094064858023,-84,10494,27204
1601356767163053035,-2.208927571944755,-250.29452802908853,-85,10265,27204
1601356767312570095,-2.211483843179124,-250.27414343939344,-83,10368,27204
1601356767469376325,-2.2180927356214766,-250.25403692780384,-82,10396,27204
1601356767625895977,-2.229554458096687,-250.23384388782455,-82,10419,27204
1601356767784729242,-2.246377681735083,-250.21409269730256,-81,10588,27204
1601356767942735910,-2.2593646511943906,-250.20418489297614,-83,10551,27204
1601356768106226921,-2.276522231109694,-250.19542563317148,-85,10537,27204
1601356768264055013,-2.2902980157889417,-250.1904813299233,-85,10541,27204
1601356768421783447,-2.3220863291969662,-250.18397579132284,-86,10541,27204
1601356768576966047,-2.3416140270780996,-250.1828863216603,-84,11028,27204
1601356768739147424,-2.3437728324771494,-250.18287700099395,-83,10874,27204
1601356768896920680,-2.3298626408036345,-250.1805016881314,-83,10728,27204
1601356769053498268,-2.326699828749311,-250.17973913199603,-84,10668,27204
1601356769208777666,-2.3257857693154227,-250.17945584258226,-83,10649,27204
1601356769670673608,-2.320905052605448,-250.17686149089005,-81,10645,27204
1601356769840773820,-2.3198422385770696,-250.17597095563522,-81,10663,27204
1601356770000293016,-2.3190269718792975,-250.1750961647227,-82,10705,27204
1601356770155671358,-2.3185790865508253,-250.1744756499345,-86,10626,27204
1601356770314639568,-2.3180486141175667,-250.17356699014434,-86,10747,27204
1601356770475349664,-2.3176483325212534,-250.17264582499683,-87,10714,27204
1601356770640977382,-2.317422117275746,-250.17191482794544,-88,10705,27204
1601356770799482822,-2.3177017203515176,-250.1740983083795,-86,10813,27204
1601356770953190803,-2.3179257416875334,-250.18016847366866,-85,10911,27204
1601356771113831281,-2.3172631480886863,-250.18990343587532,-90,10771,27204
1601356771272813320,-2.3138553307043024,-250.20867797753345,-93,10789,27204
1601356771431322336,-2.3103605024339107,-250.22166088591044,-92,10756,27204
1601356771591603755,-2.302356145466911,-250.24657855292378,-93,11052,27204
1601356771748907089,-2.2899890028678627,-250.27909096305743,-93,10911,27204
1601356771907313346,-2.278240583335456,-250.3077868461202,-89,10860,27204
1601356772069087743,-2.2632045583795954,-250.34428881813147,-89,10817,27204
1601356772229385614,-2.2479110691252675,-250.3812021411064,-90,10794,27204
1601356772387696981,-2.2330544539118495,-250.41674239468742,-92,10700,27204
1601356772544145107,-2.2130033408722825,-250.46535819287953,-93,10607,27204
1601356772700434923,-2.19845148571611,-250.50210705034397,-88,10785,27204
1601356772857127666,-2.1851564714125953,-250.53759601893572,-89,10701,27204
1601356773017290592,-2.174600797879195,-250.56812110195406,-89,10598,27204
1601356773175605058,-2.166821127425312,-250.59321196354554,-93,10466,27204
1601356773335749864,-2.160534688416753,-250.61619662457022,-91,10251,27204
1601356773492352962,-2.154881001757923,-250.64081879686952,-92,10227,27204
1601356773654080629,-2.153609568764261,-250.64749354231807,-90,10269,27204
1601356773811121702,-2.1534392291922226,-250.64858068269564,-88,10363,27204
1601356773968088626,-2.153443287451071,-250.64843724224625,-90,10349,27204
1601356774126597642,-2.1534448799055568,-250.64853292836978,-89,10358,27204
1601356774287455558,-2.153444152740143,-250.64848508254596,-90,10377,27204
1601356774446164369,-2.1534357361200525,-250.64781521370242,-91,10335,27204
1601356774613568305,-2.153433623980945,-250.64762381911004,-90,10396,27204
1601356774771789550,-2.153433623980945,-250.64762381911004,-91,10340,27204
1601356775076572656,-2.153433623980945,-250.64762381911004,-92,10283,27204
1601356775235198497,-2.153433623980945,-250.64762381911004,-92,10274,27204
1601356775392149209,-2.153433623980945,-250.64762381911004,-93,10335,27204
1601356775547544002,-2.153433623980945,-250.64762381911004,-93,10330,27204
1601356775703690528,-2.153433623980945,-250.64762381911004,-91,10340,27204
1601356775867005348,-2.1534331162665246,-250.64757597024115,-91,10372,27204
1601356776024239778,-2.1534331162665246,-250.64757597024115,-90,10382,27204
1601356776182698488,-2.1534331162665246,-250.64757597024115,-91,10316,27204
